source_artifact,model_id,environment,decoder,label_mapping,decoder_value_gap
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.6,B-C-A,-0.05294424299198247
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.9,B-C-A,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.1,B-C-A,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.3,B-C-A,-0.013214138832885136
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,B-C-A,-0.18527983162491451
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,B-C-A,-0.18527983162491457
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,greedy,C-A-B,0.304139003945211
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5,C-A-B,0.12320290697742575
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_1.5,C-A-B,-0.022713611743325424
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_k_2,C-A-B,-0.036824499352808515
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.6,C-A-B,0.052426578188461415
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.9,C-A-B,-0.036824499352808515
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.1,C-A-B,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.3,C-A-B,-0.036824499352808515
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,C-A-B,0.13890222447208578
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,C-A-B,0.12279529560605085
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,greedy,C-B-A,0.10434331361341953
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5,C-B-A,-0.0012206279211648408
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_1.5,C-B-A,0.0014900868727127925
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_k_2,C-B-A,-0.04717164359587733
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.6,C-B-A,-0.04942320936398892
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.9,C-B-A,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.1,C-B-A,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.3,C-B-A,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,C-B-A,-0.002266303784878576
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,C-B-A,-0.0012206279211648408
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,A-B-C,-0.00473920472828171
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,A-B-C,0.029831676165335996
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,A-B-C,-0.024463151248985793
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,A-B-C,0.06441523381774406
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,A-B-C,-0.004693166265403392
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,A-B-C,0.02011175562845935
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,A-B-C,0.011612981578879689
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,A-B-C,0.037570095059242914
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,A-B-C,0.03884049679642254
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,A-B-C,0.0401141055825619
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,A-C-B,-0.5267655459956336
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,A-C-B,-0.23923100550342247
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,A-C-B,0.1110692785817669
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,A-C-B,-0.009397623883993456
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,A-C-B,-0.27319862999075345
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,A-C-B,-0.02321633188924449
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,A-C-B,-0.02321633188924449
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,A-C-B,-0.23486241676054828
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,A-C-B,-0.3373511123086983
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,A-C-B,-0.2606385853735105
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,B-A-C,-0.013420202305960527
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,B-A-C,0.022204025982818787
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,B-A-C,-0.0017694530261315178
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,B-A-C,-0.014321190159430341
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,B-C-A,-0.008469926402302375
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,B-C-A,0.0009924734962274417
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,B-C-A,-0.0012989967295437
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,B-C-A,-0.009751185222641623
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,B-C-A,-0.002516651153517735
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,B-C-A,-0.008082191275429418
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,B-C-A,-0.00024806125366116927
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,B-C-A,-0.016371707700692517
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,B-C-A,0.004990680624329946
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,B-C-A,-0.0029337833492939502
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,C-A-B,-0.08451455677832287
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,C-A-B,-0.033947742537392855
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,C-A-B,0.020064671879063356
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,C-A-B,-0.010518453056673427
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,C-A-B,-0.036850047342557035
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,C-A-B,-0.0103671358548717
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,C-A-B,-0.01019714613947531
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,C-A-B,-0.008537567544785407
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,C-A-B,-0.05056070233036092
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,C-A-B,-0.03458607281226367
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,greedy,C-B-A,-0.11037207237895197
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5,C-B-A,-0.03390613436486911
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_1.5,C-B-A,0.019117956525139923
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_k_2,C-B-A,-0.019376591251042963
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.6,C-B-A,-0.02170058747497894
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.9,C-B-A,-0.0040153835578257135
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.1,C-B-A,-0.0016123021977679786
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,min_p_0.3,C-B-A,-0.02170058747497894
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,C-B-A,-0.03793777046877733
results/qwen2.5-1.5b-service-recovery.analysis.json,Qwen/Qwen2.5-1.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,C-B-A,-0.03837726550556875
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,greedy,A-B-C,0.1754245068119284
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_0.5,A-B-C,0.12752438532208854
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,temperature_1.5,A-B-C,-0.06549008459717065
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_k_2,A-B-C,-0.007927427757900896
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.6,A-B-C,0.1754245068119284
results/qwen2.5-0.5b-queue-control.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,queue_control,top_p_0.9,A-B-C,-0.0038997035839758998
